lon,lat,voterType,COLOR,id
-89.8194454089,43.9904379923,NOVOTE,#9999999,11367
-89.8194443092,43.956022065,NOVOTE,#9999999,69
-89.8194421727,43.9487940977,NOVOTE,#9999999,15
-89.8194341482,43.9572074225,REP,#ca0020,63
-89.8194339758,43.9706908907,NOVOTE,#9999999,6305
-89.8194332645,43.9768160385,REP,#ca0020,5787
-89.8194324221,43.9588816629,NOVOTE,#9999999,144
-89.819412741,43.958340794,NOVOTE,#9999999,147
-89.8194114862,43.9576850436,NOVOTE,#9999999,80
-89.8193914034,43.9653987585,REP,#ca0020,1268
-89.8193827725,44.0636158217,NOVOTE,#9999999,11110
-89.819378693,44.0542130424,DEM,#0571b0,11040
-89.8193729981,44.195445515,REP,#ca0020,13624
-89.8193728087,43.9562320484,NOVOTE,#9999999,78
-89.8193621954,44.2079820806,DEM,#0571b0,14462
-89.8193554489,43.9930619316,NOVOTE,#9999999,11433
-89.8193398301,43.9671615013,NOVOTE,#9999999,6348
-89.8193335018,43.9609383909,DEM,#0571b0,1459
-89.8193305524,43.8237007834,NOVOTE,#9999999,5764
-89.8193297646,43.9577879056,NOVOTE,#9999999,151
-89.8193291019,43.9687680826,NOVOTE,#9999999,6293
-89.8193284717,44.1866124781,NOVOTE,#9999999,13738
-89.8193158083,44.2107786065,DEM,#0571b0,14393
-89.8193094943,43.9696222407,NOVOTE,#9999999,6294
-89.8193069294,43.95988688,DEM,#0571b0,1463
-89.8193034301,44.1969726167,DEM,#0571b0,13613
-89.8193024855,43.9851605107,NOVOTE,#9999999,11392
-89.8193019211,44.185816388,REP,#ca0020,13729
-89.8192923054,44.0188465252,NOVOTE,#9999999,10832
-89.8192721019,43.9725456691,NOVOTE,#9999999,6113
-89.8192579328,43.9725569375,DEM,#0571b0,6111
-89.8192474939,43.9697193917,NOVOTE,#9999999,6299
-89.8192430216,43.9690458027,NOVOTE,#9999999,6300
-89.8192411586,43.9573371014,DEM,#0571b0,56
-89.8192355407,43.9684046902,REP,#ca0020,6312
-89.8192332643,43.9578671159,DEM,#0571b0,126
-89.8192308695,43.7169577107,REP,#ca0020,4156
-89.8192280948,43.9635159406,NOVOTE,#9999999,1392
-89.8192209147,43.9578093528,NOVOTE,#9999999,150
-89.8192130981,43.9574295657,DEM,#0571b0,51
-89.8192104516,43.9561546157,DEM,#0571b0,58
-89.8192085009,43.9634889014,NOVOTE,#9999999,1391
-89.8192084145,44.1025942094,NOVOTE,#9999999,2998
-89.8192071269,43.9579902833,NOVOTE,#9999999,142
-89.8192023745,43.969609513,DEM,#0571b0,6284
-89.819192763,43.9719912442,NOVOTE,#9999999,6136
-89.8191876719,43.9571869182,DEM,#0571b0,57
-89.8191800248,43.7154638831,DEM,#0571b0,4135
-89.8191763518,43.9686454406,NOVOTE,#9999999,6315
-89.8191749282,43.9595969583,DEM,#0571b0,1461
-89.8191656975,44.0183821281,DEM,#0571b0,10796
-89.8191522042,43.9591698,NOVOTE,#9999999,148
-89.8191484594,44.0212594352,DEM,#0571b0,10664
-89.8191359483,43.7097015582,DEM,#0571b0,4123
-89.8191319124,43.9771617853,NOVOTE,#9999999,5789
-89.8191185825,43.9612991203,DEM,#0571b0,1462
-89.8191114892,44.0563572648,DEM,#0571b0,11033
-89.8190956002,44.1502288896,NOVOTE,#9999999,2574
-89.8190862877,43.9608324327,NOVOTE,#9999999,1472
-89.8190829064,44.1978686441,REP,#ca0020,13619
-89.8190603673,43.9582128543,NOVOTE,#9999999,143
-89.8190576507,43.9717637018,DEM,#0571b0,6132
-89.819051218,43.8563331394,NOVOTE,#9999999,4928
-89.8190453292,43.9565338496,NOVOTE,#9999999,71
-89.8190440709,43.7406221333,DEM,#0571b0,16207
-89.8190319,43.9609316428,NOVOTE,#9999999,1471
-89.819029828,43.9594275271,NOVOTE,#9999999,149
-89.8190142844,43.9086337899,NOVOTE,#9999999,2056
-89.8190126747,43.9735300741,REP,#ca0020,6054
-89.8190101953,44.0595427131,REP,#ca0020,11121
-89.8190078063,43.8687771468,REP,#ca0020,4918
-89.8190031901,43.9679179651,DEM,#0571b0,6309
-89.8190029373,43.9653131956,REP,#ca0020,1270
-89.8190024839,43.8683492614,DEM,#0571b0,4917
-89.8190019795,44.1215734429,NOVOTE,#9999999,2650
-89.8189792057,43.8362671251,REP,#ca0020,5520
-89.8189761913,43.957690966,REP,#ca0020,64
-89.8189588342,43.9585274008,NOVOTE,#9999999,145
-89.8189564054,43.9677933281,NOVOTE,#9999999,6316
-89.8189556641,43.9592431429,DEM,#0571b0,130
-89.8189512055,43.9627279919,NOVOTE,#9999999,1409
-89.8189506335,43.9652010985,NOVOTE,#9999999,1276
-89.8189410476,43.7526824568,NOVOTE,#9999999,16236
-89.8189377874,43.7282242319,REP,#ca0020,4023
-89.8189329463,43.9569651344,NOVOTE,#9999999,79
-89.8189302321,43.9620043931,DEM,#0571b0,1405
-89.8189297974,43.9669790175,DEM,#0571b0,6346
-89.8189293669,43.9575278677,NOVOTE,#9999999,70
-89.8189250248,43.9566541511,REP,#ca0020,65
-89.8189191174,44.1249696474,REP,#ca0020,2646
-89.8189141919,43.9920702074,NOVOTE,#9999999,11379
-89.8188963779,43.9852571205,NOVOTE,#9999999,11383
-89.8188962804,43.9724691354,NOVOTE,#9999999,6114
-89.8188906452,43.9658894716,NOVOTE,#9999999,1274
-89.8188900687,43.7287954537,NOVOTE,#9999999,4030
-89.8188695777,43.9735818136,DEM,#0571b0,6052
-89.8188692607,43.9330436993,REP,#ca0020,1884
-89.8188689352,43.9709284964,NOVOTE,#9999999,6297
-89.8188656214,43.8371191705,DEM,#0571b0,5505
-89.8188461303,43.9228567905,DEM,#0571b0,1981
-89.8188341812,43.9881585868,NOVOTE,#9999999,11362
-89.8188302663,43.9587857503,NOVOTE,#9999999,125
-89.818826018,43.7136709928,NOVOTE,#9999999,4171
-89.8188175766,43.8167662314,DEM,#0571b0,15281
-89.8188091039,43.9505285402,DEM,#0571b0,5
-89.8188062036,43.9578160117,NOVOTE,#9999999,221
-89.8187908946,43.9608598068,REP,#ca0020,1484
-89.8187661983,44.043075636,DEM,#0571b0,10907
-89.8187651541,43.9704457041,NOVOTE,#9999999,6289
-89.8187573392,44.0398537734,NOVOTE,#9999999,10928
-89.8187529405,44.189936685,DEM,#0571b0,13710
-89.8187485382,43.9613510468,NOVOTE,#9999999,1487
-89.8187457782,44.1846510383,REP,#ca0020,13798
-89.8187435746,44.0866545784,NOVOTE,#9999999,3100
-89.8187386685,43.9681957803,NOVOTE,#9999999,6313
-89.8187307368,44.1976772886,REP,#ca0020,13616
-89.8187306592,43.97025426,DEM,#0571b0,6278
